Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
23/05/2025 17:24,B27,Beberapa kali dalam satu minggu,3,Siang,3,> Rp 30.000,Makanan berbasis nasi,Lokasi,4,2,4,4,2,5,4,3,2,5
26/05/2025 00:08,B27,Jarang atau tidak pernah,1,Siang,5,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Fasilitas,4,3,4,3,3,4,5,3,1,5
26/05/2025 00:40,B27,Sehari sekali,3,Siang,5,Rp 16.000 - Rp 20.000,Makanan berbasis nasi,Rasa makanan,4,4,4,4,4,3,4,4,3,3
27/05/2025 15:30,B27,Beberapa kali dalam sehari,5,Siang,4,Rp 21.000 - Rp 25.000,Makanan cepat saji,Variasi makanan,4,4,3,4,4,4,3,3,4,2
27/05/2025 15:30,B27,Beberapa kali dalam satu minggu,3,Sore,1,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,3,4,3,2,3,4,3,4,4
27/05/2025 15:31,B27,Beberapa kali dalam satu minggu,4,Sore,3,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 15:32,B27,Sehari sekali,4,Pagi,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Variasi makanan,1,4,5,4,3,4,4,3,4,4
27/05/2025 15:33,B27,Beberapa kali dalam sehari,6,Pagi,6,Rp 21.000 - Rp 25.000,Makanan cepat saji,Rasa makanan,3,3,3,3,3,3,3,3,3,3
27/05/2025 15:34,B27,Beberapa kali dalam sehari,3,Pagi,1,≤ Rp 15.000,Minuman,Lokasi,3,3,3,3,3,3,4,4,4,3
27/05/2025 15:36,B27,Beberapa kali dalam satu minggu,3,Siang,2,Rp 16.000 - Rp 20.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Fasilitas,1,3,3,4,4,3,3,2,3,3
27/05/2025 15:36,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Variasi makanan,4,4,4,4,4,4,4,4,4,4
27/05/2025 15:37,B27,Jarang atau tidak pernah,0,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Variasi makanan,4,4,3,3,4,3,4,4,3,3
27/05/2025 15:38,B27,Beberapa kali dalam satu minggu,2,Sore,3,Rp 21.000 - Rp 25.000,Makanan cepat saji,Variasi makanan,3,4,4,4,2,3,3,4,3,4
